target,id,date,is_querry,user_name,tweet,len_text
0,1467982281,Mon Apr 06 23:06:33 PDT 2009,NO_QUERY,A_Gael,"@katebornstein which is pretty anti memorial tattoos   but for all but the strictest, there's no official BAN, just disapproving family",135
0,1468212381,Tue Apr 07 00:19:42 PDT 2009,NO_QUERY,abbeeey,why does stik-o have to be chocolate?! ,39
0,1468121819,Mon Apr 06 23:50:04 PDT 2009,NO_QUERY,CocoaBiege,"ordered a pita...it NEVR came! why they say the fax machine broke and the driver left, what about my empty BELLY ",113
0,1468129384,Mon Apr 06 23:52:32 PDT 2009,NO_QUERY,jadeheart,"@itsangie i canceled it, with plane tickets, hotel stay and tickets.. it was close to $400 if we eat cheaply.   man i soooo want to see O!",138
0,1468108049,Mon Apr 06 23:45:26 PDT 2009,NO_QUERY,xfxf,@offbytwo seeing a doctor i hope? ,34
0,1468201547,Tue Apr 07 00:16:04 PDT 2009,NO_QUERY,dirrtyxx,@Kal_Penn OMG I am so mad! You were my favorite character  I'll miss 'you',74
0,1467966646,Mon Apr 06 23:02:06 PDT 2009,NO_QUERY,vebitaa,is really sad and doesn't really know y!!??!!! ,47
0,1467926546,Mon Apr 06 22:50:49 PDT 2009,NO_QUERY,aragorn_elessar,@Sofii_Noel thatï¿½s bad ,25
0,1468088145,Mon Apr 06 23:38:53 PDT 2009,NO_QUERY,nbrooks,Ooops. Just ate a panini from W-mart cold that says it needed to be thoroughly cooked. It didn't taste raw. I die nao from f. poisoning? ,137
0,1468012099,Mon Apr 06 23:15:14 PDT 2009,NO_QUERY,MaddiganROSE,crying  my friend is moving away tomorrow ,42
0,1468167471,Tue Apr 07 00:05:01 PDT 2009,NO_QUERY,intoxxication,"@ylizabeth because you died, and i never see you. ",50
0,1468160345,Tue Apr 07 00:02:42 PDT 2009,NO_QUERY,justinrichards,@EvilUnicorn will do  &lt;3,27
0,1468209946,Tue Apr 07 00:18:52 PDT 2009,NO_QUERY,feeebiy,"updating my myspace profile, i need more followers coz its a bit sad only to have one ",86
0,1468096934,Mon Apr 06 23:41:47 PDT 2009,NO_QUERY,arge18,my condolences to natasha richardson's family ,46
0,1467924823,Mon Apr 06 22:50:19 PDT 2009,NO_QUERY,ashleyjanne,Watching Who Framed Roger Rabbit. Makes me miss Toon Town. ,59
0,1468238925,Tue Apr 07 00:28:52 PDT 2009,NO_QUERY,una_avion2010,@amyg0716 thats really sad  i wolud hate that! but i had choco milk earlier =D lol,82
0,1467979676,Mon Apr 06 23:05:48 PDT 2009,NO_QUERY,danicag,"@GABBYiSACTiVE brat! You have to rub it in, don't you.... I want a mocha ",73
0,1468117149,Mon Apr 06 23:48:27 PDT 2009,NO_QUERY,VOCALSpeakers,"@PriscillaCruz So funny because I watched 'Only The Strong' today, what are the chances? I miss Capoeira   Zoom Zoom!",117
0,1468023022,Mon Apr 06 23:18:32 PDT 2009,NO_QUERY,SleepyShadow, Why do other pet care people try to run others out of business? Or send suspicious e-mails fishing for info?,109
0,1468162510,Tue Apr 07 00:03:23 PDT 2009,NO_QUERY,virtuallin,@idolette @marissatastic - I'm so sad about the House episode tonight  but bigger &amp; better things (damn that Taub LOL),122
0,1467872181,Mon Apr 06 22:35:50 PDT 2009,NO_QUERY,admdrw,@charlietm I know right. I dunno what is going on with twitter. ,64
0,1468242583,Tue Apr 07 00:30:07 PDT 2009,NO_QUERY,Tsukihysteria,@Kal_Penn thank you for being a great character on House! I'm sad to see you go! ,81
0,1468263832,Tue Apr 07 00:37:22 PDT 2009,NO_QUERY,eve0887,@wtfanabel nite!! I still cant go to sleep. ,44
0,1468032348,Mon Apr 06 23:21:25 PDT 2009,NO_QUERY,babyKxox,homework homework homework ,27
0,1467969654,Mon Apr 06 23:02:56 PDT 2009,NO_QUERY,SER99,has hurt her ankle!! and is going to the dr ,44
0,1467907751,Mon Apr 06 22:45:29 PDT 2009,NO_QUERY,mementototem,"STOU site not update, no info about 2/2552 exam, and open course, I must wait for mail notices and doc. um... ",110
0,1468273700,Tue Apr 07 00:40:49 PDT 2009,NO_QUERY,convoy3571,Went to the doctor's today and my blood sugar level was 178. ,61
0,1467905125,Mon Apr 06 22:44:48 PDT 2009,NO_QUERY,veronica78, wonder if Jon lost the net,27
0,1467951035,Mon Apr 06 22:57:50 PDT 2009,NO_QUERY,3WildBoys,Poor Sandra Cantu &amp; the Cantu family! My prayers go out to them! What a sick world we live in. She was only 8 ,114
0,1467880442,Mon Apr 06 22:38:04 PDT 2009,NO_QUERY,iCalvin,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",96
0,1468277676,Tue Apr 07 00:42:12 PDT 2009,NO_QUERY,annemarike,@willadam i treated myself to that latte after the appointment which was horrible. I need to have my wisdom teeth surgically removed ,133
